,Title,Budget,Revenue,Rating
0,The Night Flier,"$1,000,000 (estimated)","$125,397",6.0
1,The Interpreter of Silence (TV Mini Serie,,,7.5
2,Indiana Jones and the Kingdom of the Crystal Skull,"$185,000,000 (estimated)","$786,636,033",6.2
3,I'm for the Hippopotamus,,,6.6
4,Snails in the Rain,"₪1,000,000 (estimated)",,6.3
5,Final Destination 2,"$26,000,000 (estimated)","$90,941,129",6.2
6,Resurrecting the Champ,"$13,000,000 (estimated)","$3,243,611",6.7
7,Woody Woodpecker Goes to Camp,"$15,000,000 (estimated)",,4.6
8,John Wick: Chapter 2,"$40,000,000 (estimated)","$174,348,632",7.4
9,Skyline,"$10,000,000 (estimated)","$66,984,887",4.5
10,So Undercover,,"$2,562,285",5.0
11,Love Is All There Is,,"$61,875",5.0
12,The Job Lot (TV Series 201,,,7.1
13,Foul Play,"$5,000,000 (estimated)","$44,999,621",6.8
14,Wait Until Dark,"$3,000,000 (estimated)",,7.7
15,Men in War,"$1,000,000 (estimated)",,7.1
16,Free Men,,"$1,192,651",6.6
17,La meilleure façon de marcher,,"$13,793",7.1
18,Police Academy 6: City Under Siege,"$12,000,000 (estimated)","$11,567,217",4.4
19,A Tale of Love and Darkness,"$4,000,000 (estimated)","$724,885",6.0
20,Be Yourself (TV Series ,,,8.6
21,Life of the Party,"$30,000,000 (estimated)","$65,659,911",5.6
22,Chocolat,"$25,000,000 (estimated)","$152,700,626",7.2
23,Cold in July,,"$1,547,630",6.7
24,The Art of Getting By,,"$1,892,130",6.5
25,Frivolous Lola,,,5.1
26,We're the Millers,"$37,000,000 (estimated)","$269,994,119",7.0
27,The Crimson Cult,,,5.5
28,Peelers,,,4.1
29,We Go On,,,5.8
30,A Price Above Rubies,,"$1,130,732",6.5
31,The Lake House,"$40,000,000 (estimated)","$114,830,111",6.8
32,The Thief Lord,,"$5,141,916",5.9
33,Coffin 2,,,3.2
34,Hostage,"$52,000,000 (estimated)","$77,663,556",6.5
35,Rango,"$135,000,000 (estimated)","$245,724,603",7.3
36,2001 Maniacs,"$3,000,000 (estimated)","$368,976",5.3
37,Daredevil: Born Again (TV Series ,,,
38,Death Hunt,"$10,000,000 (estimated)",,6.9
39,633 Squadron,"$1,300,000 (estimated)",,6.4
40,Bare Bea,,"$1,662,335",5.4
41,The Importance of Being Earnest,"$15,000,000 (estimated)","$18,009,625",6.8
42,The Remains of the Day,"$15,000,000 (estimated)","$23,240,144",7.8
43,Quintet,,,5.0
44,Owning Mahowny,"$10,000,000 (estimated)","$1,271,244",7.0
45,Fargo (TV Series 201,,,8.9
46,Winter Sleep,,"$4,018,705",8.0
47,Carry on Cowboy,,,6.2
48,Wichita,,,6.9
49,My Father's Glory,,"$1,730,856",7.6
50,Bonnie and Clyde,"$2,500,000 (estimated)","$1,004",7.7
51,The Hangover Part III,"$103,000,000 (estimated)","$362,000,072",5.8
52,Staying Alive,"$22,000,000 (estimated)","$64,892,670",4.8
53,Suspicion (TV Serie,,,6.2
54,When Did You Last See Your Father?,"$8,000,000 (estimated)","$2,752,471",6.8
55,House of Strangers,,,7.3
56,Ricochet,,"$21,756,163",6.2
57,Dracula: Prince of Darkness,"£100,000 (estimated)",,6.6
58,Island of Fire,,,5.7
59,At the End of the Tunnel,"€2,000,000 (estimated)","$3,190,219",7.0
60,The New Chinese Connection (Shor,,,3.9
61,Journey to the Center of the Earth,"$60,000,000 (estimated)","$244,232,688",5.8
62,Nemesis Game,"$3,000,000 (estimated)",,5.4
63,The Temp,,,4.3
64,Force Majeure,,"$4,094,339",7.2
65,Hamlet 2,"$9,000,000 (estimated)","$4,925,288",6.3
66,"Bleach: Fade to Black, I Call Your Name",,"$6,032,296",7.1
67,I Dreamed of Africa,"$50,000,000 (estimated)","$14,400,327",5.5
68,My All-American,"$20,000,000 (estimated)","$2,246,000",7.1
69,Swept from the Sea,,"$397,020",6.7
70,Manglehorn,"$4,000,000 (estimated)","$459,636",5.5
71,September Says,,,
72,Grave Encounters,"CA$100,000 (estimated)","$4,055,919",6.1
73,The Last Detail,"$2,300,000 (estimated)",,7.5
74,Three Men and a Cradle,,"$2,052,466",6.6
75,Joshua: Imai Pol Kaka,,"$5,439",4.9
76,Edward Scissorhands,"$20,000,000 (estimated)","$86,024,005",7.9
77,We Are So Young,"R$6,400,000 (estimated)","$8,975,573",6.5
78,Asterix and Obelix vs. Caesar,"FRF 274,620,000 (estimated)","$1,632,567",6.0
79,Lust for Love,,,5.6
80,Please Don't Eat the Daisies,"$1,775,000 (estimated)",,6.4
81,Mockingbird Don't Sing,"$3,000,000 (estimated)",,6.4
82,Miss Stevens,,"$138,535",6.5
83,Chattahoochee,,"$259,486",6.3
84,The End of the F***ing World (TV Series 201,,,8.0
85,Bloodrunners,"$450,000 (estimated)",,4.5
86,The Name of the Rose,"ITL 30,000,000,000 (estimated)","$7,153,487",7.7
87,The Last Voyage of the Demeter,"$45,000,000 (estimated)","$21,786,275",6.1
88,She's Having a Baby,"$20,000,000 (estimated)","$16,031,707",5.9
89,"Olivier, Olivier",,"$1,154,476",7.5
90,Storm Warning,,"$260,346",5.8
91,Zero Dark Thirty,"$40,000,000 (estimated)","$132,820,716",7.4
92,Hallam Foe,"£3,800,000 (estimated)","$2,149,799",6.9
93,Norwegian Wood,,"$19,144,719",6.3
94,Star Wars: Episode IV - A New Hope,"$11,000,000 (estimated)","$775,398,507",8.6
95,Welcome to the Dollhouse,"$800,000 (estimated)","$4,569,882",7.4
96,Air America,"$35,000,000 (estimated)","$33,461,269",5.8
97,The Master of Disguise,"$16,000,000 (estimated)","$43,411,001",3.3
98,Edge of Sanity,,,5.3
99,Timecop,"$27,000,000 (estimated)","$101,646,581",5.9
100,House Arrest,,"$7,032,782",5.8
101,Devil's Pass,,"$5,217,347",5.7
102,Dallas (TV Series 197,,,7.1
103,Oscar and Lucinda,"A$16,000,000 (estimated)","$1,897,404",6.5
104,Save the Green Planet!,,"$15,516",7.2
105,Ladybird Ladybird,"$38,976,598 (estimated)","$152,457",7.4
106,Sweet November,"$40,000,000 (estimated)","$65,754,228",6.7
107,Varg Veum - Skriften på veggen,"NOK 21,000,000 (estimated)","$1,816,022",6.2
108,Les beaux gosses,"€3,498,408 (estimated)","$7,969,540",6.4
109,Girls Gone Dead,"$3,500,000 (estimated)",,3.5
110,Kickboxer,"$1,500,000 (estimated)","$14,697,005",6.4
111,Bad Boys vs Crazy Girls (TV Mini Serie,,,9.5
112,Beyond the Valley of the Dolls,"$900,000 (estimated)",,6.1
113,Lost in Paris,"€2,100,000 (estimated)","$2,087,225",6.3
114,The Murderer Lives at Number 21,,,7.3
115,State Fair,,,7.0
116,Morituri,"$6,290,000 (estimated)",,7.0
117,Man About Town,,"$1,165,186",5.5
118,Wide Sargasso Sea,"$4,500,000 (estimated)","$1,614,784",5.6
119,Things to Do in Denver When You're Dead,"$7,000,000 (estimated)","$529,766",6.7
120,Chasing Amy,"$250,000 (estimated)","$12,021,272",7.2
121,Pleasantville,"$60,000,000 (estimated)","$49,805,462",7.5
122,Gator,,,5.8
123,The Son of No One,"$15,000,000 (estimated)","$1,091,132",5.1
124,FX's American Horror Story: Apocalypse After Show (TV Series ,,,7.5
125,Good Neighbor Sam,,,6.8
126,Start the Revolution Without Me,,,6.4
127,Glory,"$18,000,000 (estimated)","$26,979,166",7.8
128,Pootie Tang,"$7,000,000 (estimated)","$3,313,583",5.3
129,Good Morning Babylon,,"$183,700",6.7
130,The Mummy: Tomb of the Dragon Emperor,"$145,000,000 (estimated)","$403,449,830",5.2
131,"Life, Above All",,"$230,529",7.1
132,The Return of a Man Called Horse,"$4,000,000 (estimated)",,6.1
133,Kanal,,,7.9
134,They Live,"$4,000,000 (estimated)","$13,450,021",7.2
135,1612: Khroniki smutnogo vremeni,"$12,000,000 (estimated)","$6,555,121",5.6
136,Hardball,"$32,000,000 (estimated)","$44,102,389",6.4
137,Hell Is for Heroes,"$2,500,000 (estimated)",,6.9
138,Bleeding Steel,"$65,000,000 (estimated)","$48,825,526",5.1
139,Return of the Ghostbusters,,,5.2
140,Ben X,"€1,500,000 (estimated)","$2,744,414",7.3
141,Layer Cake,"£4,000,000 (estimated)","$11,850,214",7.3
142,The Horn Blows at Midnight,"$1,831,000 (estimated)",,6.6
143,Take Me Out to the Ball Game,"$1,725,970 (estimated)",,6.6
144,Radiostars,,"$4,533,793",6.0
145,The Sea Chase,,,6.4
146,The Bourne Ultimatum,"$110,000,000 (estimated)","$444,100,035",8.0
147,Already Tomorrow in Hong Kong,,"$21,206",6.4
148,Rush Hour 3,"$140,000,000 (estimated)","$258,097,122",6.2
149,Red Dust,"$408,000 (estimated)",,7.2
150,The Emoji Movie,"$50,000,000 (estimated)","$217,776,646",3.4
151,Searching for Bobby Fischer,"$12,000,000 (estimated)","$7,266,383",7.4
152,The 'Burbs,"$18,000,000 (estimated)","$49,101,993",6.8
153,The Bishop's Wife,,$44,7.6
154,Barking at the Stars,,,8.6
155,No Way Back,,,5.1
156,Carry on Sergeant,"£73,000 (estimated)",,6.3
157,An Unfinished Life,"$30,000,000 (estimated)","$18,618,284",7.0
158,The Real Housewives of Orange County (TV Series 200,,,4.3
159,The 40-Year-Old Virgin,"$26,000,000 (estimated)","$177,378,645",7.1
160,The Hot Spot,"$13,000,000 (estimated)","$1,293,976",6.4
161,Neon Genesis Evangelion: Death & Rebirth,,"$15,877",7.2
162,On a Wing and a Prayer,,,5.5
163,The Bridges of Madison County,"$24,000,000 (estimated)","$182,016,617",7.6
164,Johnny Got His Gun,"$1,000,000 (estimated)","$2,735",7.8
165,Twin Peaks: Fire Walk with Me,"$10,000,000 (estimated)","$4,248,389",7.3
166,Dance with Me,,"$15,923,122",5.9
167,Gremlins 2: The New Batch,"$50,000,000 (estimated)","$41,483,050",6.4
168,Blind Date Book Club (TV Movi,,,6.8
169,Lilies of the Field,"$240,000 (estimated)",,7.5
170,No Good Deed,"$13,200,000 (estimated)","$54,323,210",5.6
171,Heli,"$1,000,000 (estimated)","$367,872",6.8
172,Who Pays the Ferryman? (TV Mini Serie,,,8.0
173,Death Race 2000,"$300,000 (estimated)",,6.2
174,Get Hard,"$40,000,000 (estimated)","$111,811,453",6.0
175,Führer Ex,"€5,000,000 (estimated)","$51,772",6.6
176,The Wackiest Ship in the Army,,"$1,236",6.3
177,Susana,,,7.2
178,Cloudy with a Chance of Meatballs 2,"$78,000,000 (estimated)","$274,325,949",6.3
179,The Watch (Podcast Series ,,,8.9
180,The Preppie Connection,,"$11,558",6.1
181,The Strawberry Statement,"$1,750,000 (estimated)",,6.6
182,Casanova,,$227,7.0
183,Count Dracula,,,5.6
184,Watermelon Man,"$1,000,000 (estimated)",,6.7
185,Ganes,"€1,420,571 (estimated)","$2,067,094",6.2
186,Bob Roberts,"$3,900,000 (estimated)","$4,479,470",7.0
187,Whip It,"$15,000,000 (estimated)","$16,691,303",6.9
188,The Big Feast,,,7.1
189,The Man from the Future,,"$5,799,606",7.0
190,Nightbreed,"$11,000,000 (estimated)","$9,469,695",6.5
191,All I Desire,"$460,000 (estimated)",,7.0
192,Maya the Bee Movie,,"$29,647,871",5.9
193,Trance,"$20,000,000 (estimated)","$24,261,569",6.9
194,Family: Ties of Blood,,,5.7
195,Indiscretion of an American Wife (TV Movi,,,4.8
196,Trouble the Water,"$900,000 (estimated)","$522,766",7.3
197,A Family Man,,"$1,641,235",6.5
198,Novocaine,,,
199,Clifford the Big Red Dog,"$64,000,000 (estimated)","$107,347,356",5.9
200,Vidocq,"FRF 152,000,000 (estimated)","$13,240,767",6.4
201,An American Tail: Fievel Goes West,,"$40,766,041",6.5
202,Kim's Convenience (TV Series 201,,,8.2
203,Mascots,"$20,000,000 (estimated)",,5.8
204,"The Beast from 20,000 Fathoms","$210,000 (estimated)",,6.6
205,Dawson City: Frozen Time,,"$132,369",7.6
206,Minä ja Morrison,"FIM 8,500,000 (estimated)","$1,480,538",4.9
207,Milk Money,,"$18,137,661",5.6
