,movie_name,year,num_characters,num_connections,num_connected_components,num_main_characters,max_degree_node_value,max_degree_node,network_strength,max_weight_edge_value,max_weight_edge_source,max_weight_edge_target
0,The Night Flier,1997,11,17,2,1,6,Richard Dees,235,59,Richard Dees,Katherine 'Jimmy' Blair
1,The Interpreter,2005,22,76,1,3,17,Silvia Broome,588,29,Dr. Zuwanie,Ajene Xola
2,The Skull,1965,5,5,1,1,4,Dr. Christopher Maitland,35,13,Dr. Christopher Maitland,Anthony Marco
3,The Hippopotamus,2017,13,48,1,8,12,Ted Wallace,899,101,Ted Wallace,Young David Logan
4,Snails in the Rain,2013,6,8,1,2,5,Boaz,59,12,Boaz,Noa
5,Final Destination 2,2003,16,58,1,5,14,Kimberly Corman,512,27,Kimberly Corman,Clear Rivers
6,Resurrecting the Champ,2007,24,103,1,4,21,Bob Satterfield Jr.,1260,69,Bob Satterfield Jr.,Erik 'The Wow Man' Kernan Sr.
7,Camp,2003,10,15,1,1,8,Michael,59,7,Michael,Ellen Lucas
8,John Wick: Chapter 2,2017,17,26,1,1,15,John Wick,313,73,John Wick,Santino D'Antonio
9,Skyline,2010,7,13,1,4,5,Jarrod,207,57,Jarrod,Terry
10,So Undercover,2012,15,50,1,5,13,Molly,433,43,Molly,Alex
11,Love Is All There Is,1996,21,51,1,2,17,Rosario Capomezzo,506,44,Rosario Capomezzo,Blessed Roscoe
12,Jobs,2013,29,134,1,3,28,Steve Wozniak,1998,132,Mike Markkula,Steve Wozniak
13,Foul Play,1978,18,37,1,1,14,Gloria Mundy,235,33,Gloria Mundy,Tony Carlson
14,Wait Until Dark,1967,7,20,1,7,6,Mike Talman,1138,220,Sam Hendrix,Susy Hendrix
15,Men in War,1957,11,21,1,1,7,Sgt. Riordan,112,11,Cpl. James Zwickley,Pvt. Penelli
16,Free Men,2011,6,4,2,0,2,Younes Ben Daoud,18,9,Salim Halali,Omar
17,The Best Way to Walk,1976,3,2,1,1,2,Philippe,12,9,Marc,Philippe
18,Police Academy 6: City Under Siege,1989,12,30,1,3,10,Harris,329,49,Harris,Sgt. Nick Lassard
19,A Tale of Love and Darkness,2015,18,37,1,1,12,Amos,408,53,Amos,Old Amos
20,Be Yourself!,1930,4,6,1,4,3,Jerry Moore,329,103,Jerry Moore,McCloskey
